key_date,key_amount_clp,meta_invoice_id,meta_brand,meta_date,meta_transaction_id,meta_payment_reference,meta_amount_clp,meta_status,meta_source_file,cartola_row,cartola_reference,cartola_date,cartola_facebk_code,cartola_amount_clp,cartola_amount_usd,cartola_city,cartola_description
2026-03-14,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-14,25893272167024822-25976010625417637,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-14T11-51 Transacción n.º 25893272167024822-25976010625417637.pdf,27,1603 74987506073000316849082,2026-03-14,84WUZHM6E2,600000,669.76,fb.me/ads,FACEBK *84WUZHM6E2
2026-03-14,600000,meta-pilares-2026-03,Pilares,2026-03-14,26356350777385563-26427528346934469,,600000,Pagado,Facturas Meta\Pilares\marzo_2026\2026-03-14T09-52 Transacción n.º 26356350777385563-26427528346934469.pdf,28,1603 74987506073000424056224,2026-03-14,KCRD9HR6E2,600000,669.76,fb.me/ads,FACEBK *KCRD9HR6E2
2026-03-14,600000,meta-socovesa-2026-03,Socovesa,2026-03-14,26229408633417003-26344691261888732,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-14T09-18 Transacción n.º 26229408633417003-26344691261888732.pdf,29,1603 74143616074000064362228,2026-03-14,LLJ3RJZ5E2,600000,669.76,DUBLIN,FACEBK *LLJ3RJZ5E2
2026-03-15,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-15,25924677263884313-25974661135552589,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-15T20-16 Transacción n.º 25924677263884313-25974661135552589.pdf,31,1603 74987506074000837422228,2026-03-15,5KECFHV5E2,600000,669.76,fb.me/ads,FACEBK *5KECFHV5E2
2026-03-15,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-15,25977952528556781-26026762383675798,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-15T02-52 Transacción n.º 25977952528556781-26026762383675798.pdf,32,1603 74987506074000306346098,2026-03-15,EJ3T3JM6E2,600000,669.76,fb.me/ads,FACEBK *EJ3T3JM6E2
2026-03-15,600000,meta-pilares-2026-03,Pilares,2026-03-15,26249338821420087-26260174387003202,,600000,Pagado,Facturas Meta\Pilares\marzo_2026\2026-03-15T18-41 Transacción n.º 26249338821420087-26260174387003202.pdf,30,1603 74987506074000402602097,2026-03-15,HGYMAHR6E2,600000,669.76,fb.me/ads,FACEBK *HGYMAHR6E2
2026-03-16,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-16,26304381509247211-26042025678816135,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-16T14-47 Transacción n.º 26304381509247211-26042025678816135.pdf,33,1703 74987506075004124665217,2026-03-16,6XWKXJZ5E2,600000,669.76,fb.me/ads,FACEBK *6XWKXJZ5E2
2026-03-16,600000,meta-socovesa-2026-03,Socovesa,2026-03-16,26374537935570734-26374537998904061,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-16T16-24 Transacción n.º 26374537935570734-26374537998904061.pdf,36,1603 74987506074000839804225,2026-03-16,93RHFHV5E2,600000,669.76,fb.me/ads,FACEBK *93RHFHV5E2
2026-03-17,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-17,25921914660827239-26001048502913850,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-17T08-08 Transacción n.º 25921914660827239-26001048502913850.pdf,39,1803 74987506076000917630219,2026-03-17,4YGQHHR6E2,600000,676.34,fb.me/ads,FACEBK *4YGQHHR6E2
2026-03-17,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-17,26056699947348708-26023023857382977,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-17T22-41 Transacción n.º 26056699947348708-26023023857382977.pdf,38,1803 74987506076000919172210,2026-03-17,HDNYLJH6E2,600000,676.34,fb.me/ads,FACEBK *HDNYLJH6E2
